                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4607,                  1.838,                 1.5526,                0.53708,                0.61585,                0.55626,                0.30785,                 1.6719,                 1.4774,                 1.7066,              0.0033327,              0.0033327,              0.0033327
                      2,                  1.458,                 1.5545,                 1.5089,                0.63459,                0.57963,                 0.5941,                0.30818,                 1.7333,                 1.5296,                 1.8506,                 0.0066,                 0.0066,                 0.0066
                      3,                 1.6065,                 1.8222,                 1.6282,                0.58105,                0.50064,                 0.5246,                0.26236,                 1.7816,                 1.7183,                 1.8682,              0.0098013,              0.0098013,              0.0098013
                      4,                 1.6388,                 1.9063,                 1.6803,                0.67751,                0.57523,                0.63511,                0.33588,                  1.703,                  1.514,                  1.796,               0.009703,               0.009703,               0.009703
                      5,                 1.5417,                 1.6966,                 1.6151,                0.68689,                0.64694,                0.68259,                0.36921,                  1.665,                 1.3804,                 1.7597,               0.009703,               0.009703,               0.009703
                      6,                 1.4705,                 1.5508,                 1.5628,                0.72333,                0.68751,                0.72957,                0.41883,                 1.6199,                 1.2735,                 1.7211,               0.009604,               0.009604,               0.009604
                      7,                 1.4181,                 1.4628,                 1.5223,                0.76613,                0.70592,                0.76678,                0.44408,                 1.5744,                 1.2026,                 1.6865,               0.009505,               0.009505,               0.009505
                      8,                 1.3877,                 1.3951,                 1.4991,                0.73845,                0.73157,                0.77321,                0.45365,                 1.5558,                 1.1748,                 1.6681,               0.009406,               0.009406,               0.009406
                      9,                  1.354,                 1.3434,                  1.468,                0.75396,                0.73183,                0.78398,                 0.4682,                 1.5335,                 1.1113,                 1.6465,               0.009307,               0.009307,               0.009307
                     10,                 1.3344,                 1.2958,                 1.4532,                0.77668,                0.73403,                0.78127,                0.47206,                 1.5423,                  1.105,                 1.6517,               0.009208,               0.009208,               0.009208
                     11,                 1.3127,                 1.2614,                 1.4361,                0.78151,                 0.7588,                0.80071,                 0.4847,                 1.5274,                 1.0573,                 1.6443,               0.009109,               0.009109,               0.009109
                     12,                  1.294,                 1.2309,                 1.4214,                0.78175,                0.77261,                 0.8066,                 0.4922,                  1.501,                 1.0357,                 1.6122,                0.00901,                0.00901,                0.00901
                     13,                 1.2803,                 1.1997,                 1.4128,                0.78779,                0.76472,                0.81105,                 0.4966,                 1.5111,                  1.015,                   1.63,               0.008911,               0.008911,               0.008911
                     14,                 1.2657,                 1.1768,                 1.3976,                0.79099,                0.77069,                0.81274,                0.50543,                 1.4877,                 1.0143,                 1.6026,               0.008812,               0.008812,               0.008812
                     15,                 1.2543,                 1.1537,                 1.3848,                0.79482,                0.78296,                0.82051,                0.50938,                 1.4885,                0.98756,                 1.6005,               0.008713,               0.008713,               0.008713
                     16,                  1.243,                 1.1403,                 1.3796,                0.80394,                0.78451,                0.82258,                0.51597,                 1.4727,                0.99173,                 1.5878,               0.008614,               0.008614,               0.008614
                     17,                 1.2303,                 1.1233,                 1.3701,                 0.7924,                0.79259,                0.82654,                 0.5174,                 1.4712,                0.98143,                 1.5874,               0.008515,               0.008515,               0.008515
                     18,                 1.2165,                 1.0996,                 1.3586,                0.79515,                0.79724,                0.82563,                0.51721,                 1.4689,                0.96592,                 1.5927,               0.008416,               0.008416,               0.008416
                     19,                 1.2033,                 1.0847,                 1.3482,                0.79991,                 0.7935,                0.82663,                0.51799,                 1.4674,                0.95763,                 1.5901,               0.008317,               0.008317,               0.008317
                     20,                 1.2062,                 1.0757,                  1.348,                 0.8035,                0.78903,                0.82942,                0.52212,                 1.4636,                0.95597,                 1.5892,               0.008218,               0.008218,               0.008218
                     21,                 1.1976,                 1.0621,                 1.3435,                0.81402,                 0.7821,                0.83208,                0.52444,                 1.4655,                0.94988,                 1.5913,               0.008119,               0.008119,               0.008119
                     22,                 1.1924,                 1.0544,                 1.3378,                0.81011,                 0.7888,                0.83082,                0.52605,                 1.4663,                0.94474,                 1.5949,                0.00802,                0.00802,                0.00802
                     23,                 1.1802,                 1.0426,                 1.3309,                 0.8039,                0.79288,                0.83243,                0.52693,                 1.4626,                0.94145,                 1.5921,               0.007921,               0.007921,               0.007921
                     24,                 1.1706,                 1.0248,                  1.321,                0.80438,                0.79371,                 0.8329,                0.52698,                 1.4608,                0.93777,                 1.5915,               0.007822,               0.007822,               0.007822
                     25,                 1.1629,                 1.0147,                 1.3139,                0.81155,                0.79334,                0.83372,                0.52848,                 1.4575,                0.93645,                 1.5883,               0.007723,               0.007723,               0.007723
                     26,                 1.1584,                 1.0152,                 1.3135,                0.81117,                0.79403,                0.83469,                0.52921,                 1.4544,                0.93653,                 1.5865,               0.007624,               0.007624,               0.007624
                     27,                 1.1525,                0.99731,                 1.3112,                0.80669,                 0.7995,                0.83409,                0.52964,                  1.454,                0.93346,                 1.5865,               0.007525,               0.007525,               0.007525
                     28,                 1.1426,                0.98707,                 1.3076,                 0.8104,                0.79724,                0.83369,                0.53075,                 1.4543,                 0.9304,                 1.5876,               0.007426,               0.007426,               0.007426
                     29,                 1.1407,                0.97265,                 1.3047,                0.81512,                 0.7966,                0.83453,                0.53072,                 1.4541,                0.92647,                 1.5886,               0.007327,               0.007327,               0.007327
