                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6608,                 5.7908,                0.59991,                0.64234,                0.56589,                0.60318,                0.36267,                 3.4704,                 3.2065,                0.56604,              0.0081287,              0.0081287,              0.0081287
                      2,                 3.5083,                 3.8371,                0.55513,                0.65224,                0.60275,                0.64138,                0.37756,                 3.5732,                 3.0748,                0.56569,              0.0099003,              0.0099003,              0.0099003
                      3,                 3.3974,                 3.4491,                0.53968,                0.77124,                0.65537,                 0.7302,                0.45156,                 3.5122,                 2.7686,                0.57094,              0.0099003,              0.0099003,              0.0099003
                      4,                 3.3193,                 3.2248,                 0.5301,                0.74434,                0.68454,                 0.7425,                0.45911,                  3.448,                 2.6956,                0.56322,              0.0098006,              0.0098006,              0.0098006
                      5,                 3.2537,                 3.0782,                0.52311,                0.79318,                 0.7289,                0.78019,                0.49145,                  3.413,                 2.5195,                0.54409,              0.0097009,              0.0097009,              0.0097009
                      6,                 3.1776,                 2.9583,                0.51485,                0.80591,                0.73278,                0.79252,                0.50931,                 3.3187,                 2.3931,                0.53742,              0.0096012,              0.0096012,              0.0096012
                      7,                 3.1381,                 2.8643,                0.51006,                0.78994,                0.77155,                0.81401,                0.52175,                  3.302,                 2.3342,                0.55112,              0.0095014,              0.0095014,              0.0095014
                      8,                 3.0832,                 2.7768,                0.50497,                0.78761,                0.75349,                0.81413,                0.52414,                 3.3186,                 2.2574,                0.53882,              0.0094017,              0.0094017,              0.0094017
                      9,                 3.0567,                  2.716,                0.50193,                0.81669,                0.75797,                0.81337,                0.53939,                 3.2868,                 2.2507,                0.54209,               0.009302,               0.009302,               0.009302
                     10,                 3.0113,                 2.6381,                0.49954,                0.80974,                 0.7964,                0.83219,                 0.5587,                  3.215,                 2.1989,                0.53436,              0.0092023,              0.0092023,              0.0092023
                     11,                 2.9739,                 2.5783,                0.49401,                0.82784,                0.80427,                0.84015,                0.56581,                 3.2216,                 2.1642,                0.53415,              0.0091026,              0.0091026,              0.0091026
                     12,                 2.9482,                 2.5322,                0.49151,                 0.8353,                0.80623,                0.84099,                0.56951,                 3.1994,                 2.0719,                0.52758,              0.0090029,              0.0090029,              0.0090029
                     13,                 2.9356,                 2.4877,                0.49001,                0.84545,                0.79752,                0.84784,                0.57606,                 3.2131,                 2.0443,                0.53179,              0.0089032,              0.0089032,              0.0089032
                     14,                 2.8943,                 2.4306,                0.48436,                0.81655,                0.81512,                0.84294,                0.58362,                  3.125,                 2.0207,                  0.517,              0.0088035,              0.0088035,              0.0088035
                     15,                 2.8807,                 2.3902,                  0.481,                0.85148,                0.81085,                0.85793,                0.59425,                 3.1329,                 1.9672,                0.52147,              0.0087037,              0.0087037,              0.0087037
                     16,                 2.8561,                 2.3618,                0.48174,                0.81486,                0.83719,                0.85107,                 0.5915,                 3.1745,                 1.9615,                0.53132,               0.008604,               0.008604,               0.008604
                     16,                 2.8371,                 2.3342,                0.47684,                0.82858,                0.83723,                0.85781,                0.59348,                 3.1576,                 1.9642,                0.52708,              0.0087037,              0.0087037,              0.0087037
                     17,                 2.8267,                 2.3239,                0.47736,                0.84376,                0.82732,                0.86013,                0.59956,                 3.1432,                  1.934,                0.52793,              0.0085043,              0.0085043,              0.0085043
                     18,                 2.7867,                 2.2473,                0.47228,                0.85188,                0.83751,                0.86675,                0.61024,                 3.1257,                 1.8803,                0.52501,              0.0084046,              0.0084046,              0.0084046
                     19,                 2.7641,                 2.2162,                0.47046,                0.85681,                0.83863,                0.86702,                0.60936,                 3.1151,                  1.904,                0.52286,              0.0083049,              0.0083049,              0.0083049
